ID,團名,出發日期,旅遊天數,價格,總團位,可售位
TYNA8MU8906A,【直航】晉棒山西∼五台山.壺口瀑布.懸空寺.雲岡石窟.雁門關.平遙古城八天(無購物.無自費),2018/09/06,8,26900,17,16
BKKBFCI8906A,《FUN遊華欣》暹羅海洋世界、愛與希望之宮、VANA NAVA熱帶叢林水上樂園５日遊,2018/09/06,5,27000,6,6
HKTTETG8906A,《泰航星空聯盟》情定普吉∼摩登VILLA+喀比紅樹林泛舟探險+柏森大自然森呼吸幻多奇主題樂園5日(6人成行)(含稅簽),2018/09/06,5,27400,16,15
CEBF5PR8906A,菲趣宿霧與鯨共遊薄荷島沙丁魚風暴精彩五日遊(兩晚渡假村)(贈送黃昏快艇巡弋或體驗潛水教學)(2人成行)(PR),2018/09/06,5,28500,20,2
CNXABBR8906A,《泰北清邁好時光》森林百萬渡假村激流泛舟叢林探險大象便便紙DIY夜間動物園五日遊(含稅簽/無購物/白天無自費/長榮),2018/09/06,5,30300,20,0
JSPK5BR8906A,就要玩北海道∼青池仙境.採果樂.動物園.哈密瓜.螃蟹饗宴五日,2018/09/06,5,31900,27,0
SELD5HO8906A,【北朝鮮】平壤妙香山大同江風光開城５日,2018/09/06,5,34900,16,15
CKGG8BR8906A,【中國世家】重慶∼恩施大峽谷、天空懸廊、武隆天坑三橋八日,2018/09/06,8,34900,20,19
KMGA8MU8906A,【直航】昆.大.麗(雙飛).登玉龍雪山.金梭島擺渡遊船.拜訪能歌善舞可邑小鎮.觀印象麗江八天(無購物、無自費),2018/09/06,8,34900,17,0
URCMCFM8906A,【東方假期】北疆喀納斯.可可托海、巴音布魯克草原12日,2018/09/06,12,69900,17,16
JLPK7JL8906A,JL日本假期~東北深呼吸津輕半島、奧入瀨溪綠野仙蹤7日,2018/09/06,7,74300,30,0
SELA5OZ8907A,【戲雪趣】愛寶樂園、冰雪世界、一山單車樂活、童話村、時尚明洞、塗鴉秀５天,2018/09/07,5,12000,18,17
SELB5BX8907A,【時尚玩釜山】∼升等五花飯店∼佛國寺、八公山纜車、西面鬧區、天空步道、甘川洞文化村５日,2018/09/07,5,12500,18,17
SELA5OZ8907C,【花漾韓國】∼入住首爾市區飯店+升等五花飯店∼韓服體驗、愛寶樂園、冰雪樂園、光明洞窟、拌飯秀５天,2018/09/07,5,14500,18,12
SELA5OZ8907D,【秒殺！玩首爾】★不走人蔘護肝寶★明洞半天自由行、樂天超市、ＡＲ美術館、弘大藝術街、夜燈節５日,2018/09/07,5,15400,18,17
SIND4CI8907A,【線上旅展】就去新加坡玩吧自由輕鬆走四日遊【送環球影城門票＋園區餐券】(二人成行),2018/09/07,4,16500,6,6
CJU05IT8907A,【夏艷濟州】韓國濟州奇幻山坡、泰迪熊野生動物王國、透明獨木舟、樂高樂園、塗鴉秀５日,2018/09/07,5,18500,24,0
SELA5OZ8907B,【童趣韓國】∼全程五花住宿＆不進人蔘寶肝店∼韓服漫遊、愛寶樂園、汗蒸幕、亂打秀５天,2018/09/07,5,20900,18,17
SINI4CI8907A,【線上旅展】星光熠熠新加坡環球影城濱海灣花園金沙娛樂城超值四日(四人成行),2018/09/07,4,21000,6,6
HANE5CI8907A,深度風情北越長安雙龍灣五日(全程四星/不走購物站),2018/09/07,5,21500,18,17
KS205CI8907A,【馬新旺福】馬新雙國吉隆坡高塔自助餐馬六甲5D立體藝術館金沙娛樂城超值五日遊(新加坡一晚),2018/09/07,5,21588,18,17
CNXAABR8907A,《小城故事金三角風情》清邁聖獅公園、放天燈體驗、大象便便紙DIY、泰式指壓、湄登叢林騎象、夜間動物園五日(含稅簽/長榮),2018/09/07,5,24300,20,0
HANF5CI8907A,尊爵風情~五星北越長安雙龍灣摩天輪五日(不走購物站),2018/09/07,5,25000,18,17
BKIA5MH8907A,【線上旅展】馬來西亞沙巴長鼻猴螢河遊泛舟海洋國家公園五日(4+5星)(6人成行),2018/09/07,5,25500,8,8
SINA4CI8907A,【米其林一星】食尚樂活新加坡環球影城S.E.A.海洋館濱海灣花園世界最高摩天輪四日【小孩不佔-5000】(4人成行),2018/09/07,4,26300,18,17
PPSD5PR8907A,菲航直飛菲常渴望巴拉望一島一飯店超級玩家五日遊(2人成行),2018/09/07,5,26500,20,0
GUMF5CI8907A,關島自由行五日遊(早去晚回)~含稅金~,2018/09/07,5,26888,6,6
TAOM8MU8907A,【東方假期】山東齊魯精選八日,2018/09/07,8,27400,17,16
CNXABBR8907A,《泰北清邁好時光》森林百萬渡假村激流泛舟叢林探險大象便便紙DIY夜間動物園五日遊(含稅簽/無購物/白天無自費/長榮),2018/09/07,5,30300,35,0
PPSA5PR8907A,菲航直飛菲常渴望巴拉望新尊爵五日遊(兩晚渡假村)(2人成行),2018/09/07,5,30900,20,0
JOAA5CI8907A,就要玩日本∼超值遊四都－京、阪、神、奈良饗食五日遊,2018/09/07,5,31800,28,27
PVGG4BR8907A,【中國世家】奢華上海四季酒店自由行4天(週五出發),2018/09/07,4,32500,16,15
PEKA7CA8907A,霸上草原烏蘭布統木蘭圍場、金山嶺長城、承德避暑山莊、小布達拉宮七日(無購物、無自費),2018/09/07,7,32900,20,19
HANP5CI8907A,奢華雅儷北越雙龍灣天堂雅儷號海上Villa五日-五星飯店/不走購物站,2018/09/07,5,34000,18,17
AUSS6CI8907A,雪梨歡樂超值六天四夜(早去晚回含稅簽),2018/09/07,6,35800,22,21
JTAK6CI8907A,【四國PAK】深度四國∼道後溫泉、四萬十川遊船、秘境六日遊,2018/09/07,6,42900,20,19
AUSS7CI8907A,【含小費】雪梨歡樂新玩家七天∼送雪梨塔自助餐+夜遊∼(早晚),2018/09/07,7,44800,22,21
AUSB7CI8907A,喜福邦~遨遊雪梨７天(★含全程小費★獨家-水上飛機)-早晚,2018/09/07,7,47900,22,21
BKKBSSL8908A,【橫行霸道】∼帝王蟹吃到飽∼泰國水上市場、出海六合一、爆笑鐵路、騎大象、ＳＰＡ、泰迪熊、火車夜市５日,2018/09/08,5,15500,16,15
CJU05IT8908A,【夏艷濟州】韓國濟州奇幻山坡、泰迪熊野生動物王國、透明獨木舟、樂高樂園、塗鴉秀５日,2018/09/08,5,18500,29,12
WNZD5CA8908A,升等2晚五星鉑爾曼酒店 溫州雁蕩山(靈岩景區+懸崖飛渡表演)、南溪江(竹筏漂流)五日(無購物、無自費),2018/09/08,5,18900,20,19
HGHD5CA8908A,江南(獨家)東方鹽湖城入住山居主題酒店、如意聖境88米觀音大佛(雙秀)五日(無購物、無自費),2018/09/08,5,19900,20,19
HGHB5CA8908A,蟹GO江南~戀戀西湖 四季周莊 漫步思南路五日(   升等乙晚白金瑞士酒店+VIP三排座椅、無購物、無自費),2018/09/08,5,19900,17,16
